2008_002200	0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2009_002093	0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
006171	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2008_005614	0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2008_007812	0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
007981	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2008_007559	0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
008732	0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
007699	1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
001946	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2010_000286	0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2011_000041	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2010_002533	0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
006493	1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2010_004472	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2011_000229	0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2008_007786	0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
003234	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2009_002563	0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
006390	1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
004310	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2010_000553	0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2008_003469	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2008_003947	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2010_005391	0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
009856	0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2008_000455	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2008_002957	0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
007060	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2011_002312	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2010_004618	1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
000715	1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
